sample_id,mass_avg,mass_min,mass_max,mass_var,atomic_number_mean,atomic_number_min,atomic_number_max,atomic_number_var,light_element_fraction,heavy_element_fraction,en_atom_mean,en_atom_std,en_diff_mean,en_diff_max,en_diff_var,is_ionic_like,group_mean,group_std,valence_proxy_mean,valence_proxy_max,valence_proxy_var,gap_pbe,alphax_el,alphay_el,alphaz_el,alpha_el_mean_diag,layergroup,pointgroup,has_inversion_symmetry,is_janus_like,has_out_of_plane_dipole
1WMo3O8-1,49.97350000000001,15.999,183.84,2791.324057,22,8,74,456,0.6666666666666666,0.3333333333333333,3.03,0.5819793810780584,0.8533333333333332,1.2799999999999998,0.22008888888888897,0,12.666666666666666,4.714045207910316,6,6,0,0.9810333780402016,3.9170465829757326,3.909376945039405,0.2467985115981418,2.6910740132044264,pm2m,mm2,0,0,1
1WMo3S8-1,60.68083333333332,32.06,183.84,2121.094957638889,27.333333333333332,16,74,320.8888888888889,0.6666666666666666,0.3333333333333333,2.4566666666666666,0.18144481867009105,0.27999999999999997,0.41999999999999993,0.009866666666666668,0,12.666666666666666,4.714045207910316,6,6,0,1.5592570255978977,6.066706852035908,6.054374113123086,0.37381500527008965,4.164965323476362,pm2m,mm2,0,0,1
1WMo3Se8-1,91.95483333333334,78.971,183.84,819.9506123055553,39.333333333333336,34,74,120.88888888888891,0,0.3333333333333333,2.436666666666667,0.16789547012617356,0.2599999999999998,0.3899999999999997,0.008466666666666652,0,12.666666666666666,4.714045207910316,6,6,0,1.2995954881424192,7.144722946042624,7.096498763436504,0.4119321547907637,4.884384621423297,pm2m,mm2,0,0,1
1WMo3Te8-1,124.37416666666665,95.95,183.84,503.6027576388888,51.333333333333336,42,74,64.8888888888889,0,1,2.136666666666667,0.07203394261658098,0.1733333333333332,0.2599999999999998,0.0070222222222222005,0,12.666666666666666,4.714045207910316,6,6,0,0.8995266338741364,9.346814064142947,9.276566891394927,0.4672094118433496,6.363530122460408,pm2m,mm2,0,0,1
1ZrHf3S8-1,73.59783333333333,32.06,178.49,3926.7428683055555,32,16,72,576,0.6666666666666666,0.3333333333333333,2.1558333333333333,0.5999091366383932,0.8533333333333335,1.28,0.33908888888888883,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,1.1629922110162703,3.809864639124348,3.808133340463858,0.33772312322191517,2.65190703427004,p-3m1,-3m,1,0,1
1ZrHf3S8-2,73.59783333333331,32.06,178.49,3926.7428683055555,32,16,72,576,0.6666666666666666,0.3333333333333333,2.1558333333333333,0.5999091366383932,0.8533333333333335,1.28,0.33908888888888883,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,1.149120397414757,3.4182500255308446,3.381930314122441,0.36181987581032676,2.387333405154538,pm11,m,0,0,1
1ZrHf3Se8-1,104.87183333333333,78.971,178.49,1817.6660069722222,44,34,72,264,0,0.3333333333333333,2.1358333333333337,0.5857681329293659,0.8333333333333334,1.2499999999999998,0.32282222222222207,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,0.8440397800002202,4.606907860611832,4.586574196177917,0.4002931772125874,3.197925078000779,pm11,m,0,0,1
1ZrHf3Te8-1,137.29116666666664,91.224,178.49,663.7970949722225,56,40,72,96,0,1,1.8358333333333337,0.3736633585937422,0.5333333333333333,0.8,0.12682222222222223,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,0.14230300813076624,9.00740363135157,9.092179944814035,0.4591008567624628,6.186228144309356,pm2m,mm2,0,0,1
1ZrTi3Te8-1,104.63541666666664,47.867,127.6,1172.233515909722,43.5,22,52,164.75,0,0.75,1.895833333333334,0.29346942865578957,0.5133333333333333,0.77,0.053355555555555566,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,0.08036429967049719,13.830534695452915,14.061735067724358,0.4632630264721566,9.451844263216477,pm2m,mm2,0,0,1
1MnI4-1,112.5076,54.938,126.9,828.5647110400001,47.4,25,53,125.44000000000001,0,0.8,2.438,0.44400000000000006,1.11,1.11,0,0,15,4,7,7,0,0.8033532044044245,2.3615264870687986,2.4276323483137268,0.39341111182015204,1.7275233157342258,p1,1,0,0,1
